gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,0.1023712383613841,0,0,-0.5132032883397971,-0.2633677323175563,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,1,1,-0.7117434584104956,1,0,0.34959032689664926,-0.5048495170132922,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,-0.7931549280876836,0,0,-0.8118626166908747,-0.7511609374029428,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,1,0,-0.2639803751859618,1,1,0.28322158726307645,-0.1737999430849561,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0
1,0,1,1,-1.2816237461508113,1,0,-0.679125137423729,-0.990886490937255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,1.3642490183577978,1,1,0.48232780616379484,1.271139244976256,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,-1.2816237461508113,1,0,-1.508734382843389,-1.0018629356961521,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
0,0,1,0,0.30589991255435406,1,0,-0.2809126996222923,0.03431344954373262,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,1.3235432835192036,1,1,-0.1813595901719331,0.66172703196229,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
0,0,0,0,1.1200146093262338,1,0,0.5155121759805812,1.1179080761420528,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
