gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Contract_One year,Contract_Two year,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,1,0.8810778611533472,1,1,0,1,0,1,1,0,1,0.19592677420943067,0.6545034356038762,1,0,0,0,0,1,0
1,0,0,0,-1.2842626174135892,1,0,0,0,0,0,1,0,1,0.5227546323250617,-0.9740418970882849,0,0,1,0,0,1,0
1,0,0,0,-0.7939968486814527,1,0,0,0,0,0,0,0,0,-1.5095505767695994,-0.8949860841391555,1,0,0,1,1,0,0
0,1,1,1,-0.34458656067699417,1,0,0,0,1,0,1,1,1,1.0536425236804017,-0.01049675980936308,0,1,1,0,0,1,0
0,1,0,0,-1.079985213775199,1,0,1,0,0,0,0,0,1,0.30874045112244014,-0.8105671884020196,0,0,1,0,0,1,0
1,1,1,0,0.22739016951049848,1,1,0,1,1,0,1,1,1,1.2543845075991396,0.7600877485990286,0,0,1,0,0,1,0
0,0,0,0,-0.8348523294091307,1,0,1,0,0,0,1,0,1,0.6753849010897223,-0.57743861437029,1,0,1,0,1,0,0
1,0,0,0,-0.26287559922163806,0,0,1,1,0,0,0,1,1,-0.6684250739034825,-0.49908905100641227,0,0,0,0,0,0,0
0,0,1,1,-1.079985213775199,0,0,0,1,1,1,0,0,0,-0.8044650960632884,-0.913591346650634,0,1,0,0,0,0,1
1,0,1,1,1.4121991106131617,1,1,0,1,1,0,0,0,0,0.7500410108115669,1.6029966285971182,1,0,1,0,0,1,0
1,1,1,0,1.2079217069747716,1,1,0,1,1,0,1,1,1,1.292542074790305,1.8080517816150867,1,0,1,0,0,1,0
1,0,1,1,0.7176559382426351,0,0,1,0,0,0,1,0,1,-0.8409636385939679,-0.11736115017778442,0,0,0,0,1,0,0
1,0,1,1,1.616476514251552,0,0,1,1,1,1,1,1,1,0.028365283500401555,1.0493410943587418,0,1,0,0,0,0,0
0,1,1,1,-0.05859819558324785,1,0,0,0,1,1,1,1,1,1.1316166827232177,0.27546811131902116,0,0,1,0,0,1,0
1,0,1,0,1.616476514251552,1,1,1,1,1,1,1,1,1,0.9026712795762271,1.9840844907391113,0,1,0,0,1,0,0
1,0,0,0,0.758511418970313,0,0,1,0,0,1,0,1,1,-0.6750611725454241,-0.04664791045444227,0,0,0,0,1,0,0
